58599427	Команда Навального НН	146
146333021	Команда Навального | Салават	160
153857444	Команда Навального | Зимбабве	170
57051368	Команда Навального - Зеленоград	192
144945943	Команда Навального | Магадан	193
145523637	Команда Навального | Набережные Челны	197
143690218	Команда Навального | Северодвинск	208
146357682	Команда Навального | Южно-Сахалинск	217
37757537	Команда Навального | Ижевск	226
152243644	Команда Навального | Мичуринск	236
168372128	Команда Навального | Балаково	240
149944810	Команда Навального | Сургут	242
22108790	Команда Навального | Петрозаводск.	244
149128997	Команда Навального | Ессентуки	248
144628655	Команда Навального | Мытищи	270
148814969	Команда Навального | Жуковский	276
143563117	Команда Навального | Рыбинск	280
151531828	Команда Навального | Старый Оскол	287
148480048	Команда Навального | Березники	294
94304365	Команда Навального  Находка	296
146003538	Команда Навального | 2018	298
149748661	Команда Навального | Орск	299
151687435	Команда Навального | Королёв	356
8869990	Команда Навального | Армавир	372
145383840	Команда Навального | Камчатка	386
152808033	Команда Навального | Якутск	403
147372574	Команда Навального | Ростов Великий	408
142821836	Команда Навального | Нижнекамск 20!8	410
145543188	Команда Навального | Братск	426
146870653	Команда Навального | Комсомольск-на-Амуре	488
71590703	Команда Навального | Марш	502
142161288	Команда Навального | Бийск	516
149745466	Команда Навального | Чита	522
92311056	Команда Навального | Крым	549
151022871	Команда Навального | Сочи	562
149748284	Команда Навального | Сыктывкар	562
146847438	Команда Навального | Йошкар-Ола	593
151074821	Команда Навального | Курск	698
147543030	Команда Навального | Великий Новгород	720
147491359	Команда Навального | Калуга	758
98710356	Команда Навального | Орёл	765
147857950	Команда Навального | Киров	767
149035375	Команда Навального | Петрозаводск	808
145263248	Команда Навального | Череповец	808
145262536	Команда Навального | Вологда	836
33794733	Команда Навального | Кострома	840
51712475	Команда Навального | Улан-Удэ	847
147490524	Команда Навального | Псков	877
149814798	Команда Навального | Тольятти	976
147544799	Команда Навального | Рязань	1020
138820149	Команда Навального | Астрахань	1058
147544716	Команда Навального | Смоленск	1103
143089548	Команда Навального | Курган	1107
144799543	Команда Навального | Ульяновск	1132
147122958	Команда Навального | Саранск	1133
142970988	Команда Навального | Брянск	1222
143583209	Команда Навального | Тула	1226
149292795	Команда Навального | Новокузнецк	1229
151207533	Команда Навального | Белгород	1264
144334774	Команда Навального | Ставрополь	1516
151866052	Команда Навального | Архангельск	1522
149749098	Команда Навального | Мурманск	1574
141634839	Команда Навального | Липецк	1629
143539014	Команда Навального | Иваново	1704
142210756	Команда Навального | Тамбов	1733
141533172	Команда Навального | Оренбург	1781
142161116	Команда Навального | Барнаул	1795
46071642	Команда Навального | Владимир	1939
147122112	Команда Навального | Чебоксары	1983
142063969	Команда Навального | Магнитогорск	2040
142929931	Команда Навального | Пенза	2139
114508112	Команда Навального | Хабаровск	2153
141238203	Команда Навального | Тверь	2204
147903455	Команда Навального | Ижевск	2234
147680163	Команда Навального | Иркутск	2287
144290256	Команда Навального | Владивосток	2355
140764628	Команда Навального | Томск	2400
27297600	Команда Навального | Нижний Тагил	2481
140784015	Команда Навального | Волгоград	2535
68165950	Команда Навального | Тюмень	2538
142160873	Команда Навального | Кемерово	2846
148719529	Команда Навального | Омск	2858
142970331	Команда Навального | Ярославль	2885
142989213	Команда Навального | Воронеж	3128
140293827	Команда Навального | Калининград	3225
141813397	Команда Навального | Ростов-на-Дону	3464
143157143	Команда Навального | Саратов	3499
141528271	Команда Навального | Красноярск	3525
142483619	Команда Навального | Краснодар	3711
137282900	Команда Навального | Пермь	3784
140356985	Команда Навального | Казань	4341
140764636	Команда Навального | Самара	4761
138777098	Команда Навального | Челябинск	4805
140764813	Команда Навального | Уфа	4925
140763577	Команда Навального | Нижний Новгород	5035
139247113	Команда Навального | Новосибирск	5424
139248777	Команда Навального | Екатеринбург	5588
144359716	Команда Навального | Москва	9539
139246969	Команда Навального | Санкт-Петербург	15887
55284725	Команда Навального	205241
